,Unnamed: 0,Date,Title,Author,Ranking,Year,Month,List
134,134,2019-09-01,little fires everywhere,Celeste Ng,15,2019,9,combined-print-and-e-book-fiction
135,135,2019-10-01,the institute,Stephen King,1,2019,10,combined-print-and-e-book-fiction
136,136,2019-10-01,the testaments,Margaret Atwood,2,2019,10,combined-print-and-e-book-fiction
137,137,2019-10-01,where the crawdads sing,Delia Owens,3,2019,10,combined-print-and-e-book-fiction
138,138,2019-10-01,land of wolves,Craig Johnson,4,2019,10,combined-print-and-e-book-fiction
139,139,2019-10-01,the goldfinch,Donna Tartt,5,2019,10,combined-print-and-e-book-fiction
140,140,2019-10-01,the handmaids tale,Margaret Atwood,6,2019,10,combined-print-and-e-book-fiction
141,141,2019-10-01,it,Stephen King,7,2019,10,combined-print-and-e-book-fiction
142,142,2019-10-01,the girl who lived twice,David Lagercrantz,8,2019,10,combined-print-and-e-book-fiction
143,143,2019-10-01,killer instinct,James Patterson and Howard Roughan,9,2019,10,combined-print-and-e-book-fiction
144,144,2019-10-01,the tattooist of auschwitz,Heather Morris,10,2019,10,combined-print-and-e-book-fiction
145,145,2019-10-01,the stalking,Heather Graham,11,2019,10,combined-print-and-e-book-fiction
146,146,2019-10-01,vendetta in death,J.D. Robb,12,2019,10,combined-print-and-e-book-fiction
147,147,2019-10-01,a little hatred,Joe Abercrombie,13,2019,10,combined-print-and-e-book-fiction
148,148,2019-10-01,before we were yours,Lisa Wingate,14,2019,10,combined-print-and-e-book-fiction
149,149,2019-10-01,the titanic secret,Clive Cussler and Jack Du Brul,15,2019,10,combined-print-and-e-book-fiction
150,150,2019-11-01,the guardians,John Grisham,1,2019,11,combined-print-and-e-book-fiction
151,151,2019-11-01,where the crawdads sing,Delia Owens,2,2019,11,combined-print-and-e-book-fiction
152,152,2019-11-01,the 19th christmas,James Patterson and Maxine Paetro,3,2019,11,combined-print-and-e-book-fiction
153,153,2019-11-01,olive again,Elizabeth Strout,4,2019,11,combined-print-and-e-book-fiction
154,154,2019-11-01,stealth,Stuart Woods,5,2019,11,combined-print-and-e-book-fiction
155,155,2019-11-01,the institute,Stephen King,6,2019,11,combined-print-and-e-book-fiction
156,156,2019-11-01,the dutch house,Ann Patchett,7,2019,11,combined-print-and-e-book-fiction
157,157,2019-11-01,the water dancer,Ta-Nehisi Coates,8,2019,11,combined-print-and-e-book-fiction
158,158,2019-11-01,the testaments,Margaret Atwood,9,2019,11,combined-print-and-e-book-fiction
159,159,2019-11-01,bloody genius,John Sandford,10,2019,11,combined-print-and-e-book-fiction
160,160,2019-11-01,the giver of stars,Jojo Moyes,11,2019,11,combined-print-and-e-book-fiction
161,161,2019-11-01,doctor sleep,Stephen King,12,2019,11,combined-print-and-e-book-fiction
162,162,2019-11-01,ninth house,Leigh Bardugo,13,2019,11,combined-print-and-e-book-fiction
163,163,2019-11-01,what happens in paradise,Elin Hilderbrand,14,2019,11,combined-print-and-e-book-fiction
164,164,2019-11-01,vince flynn lethal agent,Kyle Mills,15,2019,11,combined-print-and-e-book-fiction
165,165,2019-12-01,twisted twentysix,Janet Evanovich,1,2019,12,combined-print-and-e-book-fiction
166,166,2019-12-01,blue moon,Lee Child,2,2019,12,combined-print-and-e-book-fiction
167,167,2019-12-01,the guardians,John Grisham,3,2019,12,combined-print-and-e-book-fiction
168,168,2019-12-01,where the crawdads sing,Delia Owens,4,2019,12,combined-print-and-e-book-fiction
169,169,2019-12-01,the night fire,Michael Connelly,5,2019,12,combined-print-and-e-book-fiction
170,170,2019-12-01,olive again,Elizabeth Strout,6,2019,12,combined-print-and-e-book-fiction
171,171,2019-12-01,the dutch house,Ann Patchett,7,2019,12,combined-print-and-e-book-fiction
172,172,2019-12-01,the giver of stars,Jojo Moyes,8,2019,12,combined-print-and-e-book-fiction
173,173,2019-12-01,the institute,Stephen King,9,2019,12,combined-print-and-e-book-fiction
174,174,2019-12-01,the 19th christmas,James Patterson and Maxine Paetro,10,2019,12,combined-print-and-e-book-fiction
175,175,2019-12-01,michael crichton the andromeda evolution,Daniel H. Wilson,11,2019,12,combined-print-and-e-book-fiction
176,176,2019-12-01,the family upstairs,Lisa Jewell,12,2019,12,combined-print-and-e-book-fiction
177,177,2019-12-01,the deserter,Nelson DeMille and Alex DeMille,13,2019,12,combined-print-and-e-book-fiction
178,178,2019-12-01,the starless sea,Erin Morgenstern,14,2019,12,combined-print-and-e-book-fiction
179,179,2019-12-01,the testaments,Margaret Atwood,15,2019,12,combined-print-and-e-book-fiction
180,180,2020-01-01,where the crawdads sing,Delia Owens,1,2020,1,combined-print-and-e-book-fiction
181,181,2020-01-01,the guardians,John Grisham,2,2020,1,combined-print-and-e-book-fiction
182,182,2020-01-01,criss cross,James Patterson,3,2020,1,combined-print-and-e-book-fiction
183,183,2020-01-01,the institute,Stephen King,4,2020,1,combined-print-and-e-book-fiction
184,184,2020-01-01,a minute to midnight,David Baldacci,5,2020,1,combined-print-and-e-book-fiction
185,185,2020-01-01,blue moon,Lee Child,6,2020,1,combined-print-and-e-book-fiction
186,186,2020-01-01,the dutch house,Ann Patchett,7,2020,1,combined-print-and-e-book-fiction
187,187,2020-01-01,the silent patient,Alex Michaelides,8,2020,1,combined-print-and-e-book-fiction
188,188,2020-01-01,twisted twentysix,Janet Evanovich,9,2020,1,combined-print-and-e-book-fiction
189,189,2020-01-01,the testaments,Margaret Atwood,10,2020,1,combined-print-and-e-book-fiction
190,190,2020-01-01,the tattooist of auschwitz,Heather Morris,11,2020,1,combined-print-and-e-book-fiction
191,191,2020-01-01,the giver of stars,Jojo Moyes,12,2020,1,combined-print-and-e-book-fiction
192,192,2020-01-01,the overstory,Richard Powers,13,2020,1,combined-print-and-e-book-fiction
193,193,2020-01-01,olive again,Elizabeth Strout,14,2020,1,combined-print-and-e-book-fiction
194,194,2020-01-01,the water dancer,Ta-Nehisi Coates,15,2020,1,combined-print-and-e-book-fiction
195,195,2020-02-01,where the crawdads sing,Delia Owens,1,2020,2,combined-print-and-e-book-fiction
196,196,2020-02-01,lost,James Patterson and James O. Born,2,2020,2,combined-print-and-e-book-fiction
197,197,2020-02-01,the last wish,Andrzej Sapkowski,3,2020,2,combined-print-and-e-book-fiction
198,198,2020-02-01,the guardians,John Grisham,4,2020,2,combined-print-and-e-book-fiction
199,199,2020-02-01,the silent patient,Alex Michaelides,5,2020,2,combined-print-and-e-book-fiction
200,200,2020-02-01,the dutch house,Ann Patchett,6,2020,2,combined-print-and-e-book-fiction
201,201,2020-02-01,dear edward,Ann Napolitano,7,2020,2,combined-print-and-e-book-fiction
202,202,2020-02-01,such a fun age,Kiley Reid,8,2020,2,combined-print-and-e-book-fiction
203,203,2020-02-01,the giver of stars,Jojo Moyes,9,2020,2,combined-print-and-e-book-fiction
204,204,2020-02-01,the outsider,Stephen King,10,2020,2,combined-print-and-e-book-fiction
205,205,2020-02-01,moral compass,Danielle Steel,11,2020,2,combined-print-and-e-book-fiction
206,206,2020-02-01,little fires everywhere,Celeste Ng,12,2020,2,combined-print-and-e-book-fiction
207,207,2020-02-01,before we were yours,Lisa Wingate,13,2020,2,combined-print-and-e-book-fiction
208,208,2020-02-01,long bright river,Liz Moore,14,2020,2,combined-print-and-e-book-fiction
209,209,2020-02-01,the wives,Tarryn Fisher,15,2020,2,combined-print-and-e-book-fiction
210,210,2020-03-01,american dirt,Jeanine Cummins,1,2020,3,combined-print-and-e-book-fiction
211,211,2020-03-01,where the crawdads sing,Delia Owens,2,2020,3,combined-print-and-e-book-fiction
212,212,2020-03-01,golden in death,J.D. Robb,3,2020,3,combined-print-and-e-book-fiction
213,213,2020-03-01,little fires everywhere,Celeste Ng,4,2020,3,combined-print-and-e-book-fiction
214,214,2020-03-01,the silent patient,Alex Michaelides,5,2020,3,combined-print-and-e-book-fiction
215,215,2020-03-01,crooked river,Douglas Preston and Lincoln Child,6,2020,3,combined-print-and-e-book-fiction
216,216,2020-03-01,the dutch house,Ann Patchett,7,2020,3,combined-print-and-e-book-fiction
217,217,2020-03-01,the guardians,John Grisham,8,2020,3,combined-print-and-e-book-fiction
218,218,2020-03-01,the outsider,Stephen King,9,2020,3,combined-print-and-e-book-fiction
219,219,2020-03-01,the tattooist of auschwitz,Heather Morris,10,2020,3,combined-print-and-e-book-fiction
220,220,2020-03-01,the last wish,Andrzej Sapkowski,11,2020,3,combined-print-and-e-book-fiction
221,221,2020-03-01,the giver of stars,Jojo Moyes,12,2020,3,combined-print-and-e-book-fiction
222,222,2020-03-01,a long petal of the sea,Isabel Allende,13,2020,3,combined-print-and-e-book-fiction
223,223,2020-03-01,such a fun age,Kiley Reid,14,2020,3,combined-print-and-e-book-fiction
224,224,2020-03-01,criss cross,James Patterson,15,2020,3,combined-print-and-e-book-fiction
225,225,2020-04-01,the boy from the woods,Harlan Coben,1,2020,4,combined-print-and-e-book-fiction
226,226,2020-04-01,little fires everywhere,Celeste Ng,2,2020,4,combined-print-and-e-book-fiction
227,227,2020-04-01,smoke bitten,Patricia Briggs,3,2020,4,combined-print-and-e-book-fiction
228,228,2020-04-01,where the crawdads sing,Delia Owens,4,2020,4,combined-print-and-e-book-fiction
229,229,2020-04-01,hit list,Stuart Woods,5,2020,4,combined-print-and-e-book-fiction
